City,PM2.5_x,PM10_x,NO_x,NO2_x,NOx_x,NH3_x,CO_x,SO2_x,O3_x,AQI,AQI_Bucket_x,Date,PM2.5_y,PM10_y,NO_y,NO2_y,NOx_y,NH3_y,CO_y,SO2_y,O3_y,Benzene,Toluene,Xylene,AQI_chem
Delhi,265.1,107.5,136.1,85.7,208.5,15.3,8.04,10.9,178.1,415.1,Severe,2015-05-28,182.76,436.17,54.87,72.67,100.54,35.74,6.89,14.33,83.33,2.5,6.62,1.056325369738339,371.0
Mumbai,253.5,13.8,149.5,50.0,210.6,7.2,6.01,64.7,148.9,403.5,Severe,2015-05-28,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.57,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,260.0,580.1,73.0,45.9,1.4,36.8,6.71,80.3,117.4,410.0,Severe,2015-05-28,105.59,167.82286741214057,14.0,20.24,23.78,53.36,3.18,11.34,52.84,2.7,3.99,1.056325369738339,221.0
Delhi,101.5,257.0,120.0,116.7,29.6,34.9,2.01,8.5,22.0,236.8,Poor,2015-05-29,106.61,275.6,37.21,64.94,87.55,41.74,8.48,12.9,76.1,1.94,5.71,1.056325369738339,414.0
Mumbai,56.4,315.1,134.3,12.4,223.8,28.8,0.17,42.5,154.0,265.1,Poor,2015-05-29,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.5,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,146.4,14.3,94.4,10.6,47.7,8.8,9.33,17.3,52.3,320.5,Very Poor,2015-05-29,100.5,167.82286741214057,19.0,21.32,26.22,58.98,1.45,10.99,44.51,3.290950354609929,9.226440829460136,1.056325369738339,204.0
Delhi,277.1,569.3,109.5,129.0,138.2,14.4,9.01,29.1,182.4,427.1,Severe,2015-05-30,92.68,239.12,47.05,65.26,103.71,40.66,7.59,17.68,69.95,2.59,7.66,1.056325369738339,366.0
Mumbai,351.7,122.6,169.4,101.8,204.7,34.1,9.57,46.6,52.9,194.6,Moderate,2015-05-30,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.51,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,148.3,83.9,112.6,79.7,197.5,27.2,2.31,96.1,147.8,322.0,Very Poor,2015-05-30,102.97,167.82286741214057,24.07,25.74,35.87,52.25,2.12,9.7,52.73,3.290950354609929,93.65,1.056325369738339,206.0
Delhi,182.1,575.3,97.1,90.2,64.3,8.0,4.79,99.1,187.6,347.9,Very Poor,2015-05-31,73.62,236.8,19.04,41.86,52.3,36.27,7.12,13.08,87.47,1.66,3.31,1.056325369738339,346.0
Mumbai,98.0,524.0,110.1,36.6,33.6,16.4,0.75,24.1,167.3,224.9,Poor,2015-05-31,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.78,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,139.8,564.3,91.8,97.4,195.6,29.7,3.2,2.2,103.4,315.4,Very Poor,2015-05-31,127.46,167.82286741214057,18.69,29.99,27.0,55.9,1.43,11.03,48.19,3.290950354609929,27.09,1.056325369738339,211.0
Delhi,220.4,318.5,104.7,128.6,221.9,1.3,4.55,71.7,29.2,377.3,Very Poor,2015-06-01,49.42,175.39,15.74,48.55,61.72,35.12,5.03,9.96,72.89,1.26,3.71,1.056325369738339,289.0
Mumbai,242.6,492.4,98.9,26.3,60.5,18.3,9.01,73.7,118.7,489.1,Severe,2015-06-01,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.69,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,212.8,402.6,63.8,148.0,44.8,26.6,4.02,68.3,192.0,371.5,Very Poor,2015-06-01,129.49,167.82286741214057,4.23,14.97,15.73,53.25,1.56,11.45,46.7,3.290950354609929,0.11,1.056325369738339,216.0
Delhi,198.1,120.4,72.6,98.3,185.4,31.9,2.8,10.1,115.9,360.2,Very Poor,2015-06-02,52.51,117.86,18.64,54.29,68.84,46.09,6.67,6.73,56.2,1.51,3.98,1.056325369738339,297.0
Mumbai,166.7,388.3,194.9,131.2,56.3,0.2,9.97,36.6,94.7,347.7,Very Poor,2015-06-02,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,41.01,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,477.1,339.1,19.3,59.9,23.4,32.3,8.76,60.1,161.4,289.1,Poor,2015-06-02,100.13,167.82286741214057,4.48,14.35,14.84,54.95,2.51,9.62,47.98,3.290950354609929,9.226440829460136,1.056325369738339,220.0
Delhi,275.8,27.8,18.5,90.8,172.8,23.3,8.05,49.0,56.9,425.8,Severe,2015-06-03,65.28,137.7,24.46,65.25,91.72,54.47,4.98,6.31,41.92,1.8,5.8,1.056325369738339,268.0
Mumbai,182.4,432.8,85.6,39.9,97.5,42.9,6.18,75.2,195.9,403.6,Severe,2015-06-03,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,57.53,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,132.0,219.9,175.8,100.5,192.4,40.9,6.21,5.7,199.7,309.4,Very Poor,2015-06-03,108.88,167.82286741214057,5.25,16.12,17.11,58.26,1.44,10.79,50.59,3.290950354609929,9.226440829460136,1.056325369738339,203.0
Delhi,447.8,308.8,123.1,140.2,141.8,4.9,2.5,27.6,178.5,258.8,Poor,2015-06-04,85.45,170.55,15.02,62.38,71.04,57.58,3.83,5.53,63.0,3.19,8.0,1.056325369738339,259.0
Mumbai,64.3,356.6,167.8,91.3,199.2,33.1,2.14,87.6,71.3,308.0,Very Poor,2015-06-04,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.38,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,425.8,14.6,56.7,44.6,142.3,2.3,8.65,8.6,82.5,183.1,Moderate,2015-06-04,111.48,167.82286741214057,4.69,15.66,16.38,57.97,1.51,10.8,42.62,3.290950354609929,9.226440829460136,1.056325369738339,207.0
Delhi,258.3,148.4,183.2,34.5,188.7,40.2,3.84,74.6,148.0,408.3,Severe,2015-06-05,83.02,241.67,16.05,62.63,52.93,75.0,11.36,4.12,52.03,2.6,7.32,1.056325369738339,327.0
Mumbai,166.0,456.0,60.4,11.9,105.4,25.7,9.9,81.3,163.2,436.9,Severe,2015-06-05,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,30.52,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,123.2,77.8,165.8,131.7,143.8,15.4,3.17,46.6,72.5,302.7,Very Poor,2015-06-05,73.81,167.82286741214057,9.21,16.64,18.28,53.98,1.48,11.32,40.96,0.13,1.71,1.056325369738339,200.0
Delhi,6.6,11.2,192.0,145.1,83.1,4.3,2.19,82.1,21.6,165.1,Moderate,2015-06-06,44.54,119.29,11.64,46.37,46.37,71.88,11.94,7.37,37.09,2.38,6.02,1.056325369738339,384.0
Mumbai,76.7,104.0,47.3,139.8,171.4,4.6,3.56,26.0,82.4,159.8,Moderate,2015-06-06,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.05,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,89.8,400.4,174.0,25.9,32.9,48.0,4.97,82.9,160.1,362.9,Very Poor,2015-06-06,60.15,167.82286741214057,4.59,15.47,16.48,55.75,1.53,9.55,46.33,3.290950354609929,2.53,1.056325369738339,125.0
Delhi,268.8,27.5,167.5,51.8,99.7,25.6,6.59,86.2,100.7,418.8,Severe,2015-06-07,85.03,186.2,25.76,77.07,91.29,46.57,3.51,9.53,88.63,2.43,6.95,1.056325369738339,299.0
Mumbai,443.4,44.6,178.8,83.2,92.7,0.5,7.75,46.8,71.9,171.8,Moderate,2015-06-07,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.35,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,178.9,357.0,70.2,78.2,61.1,43.1,2.03,96.2,180.0,345.4,Very Poor,2015-06-07,61.59,167.82286741214057,4.51,15.4,16.38,52.11,2.02,10.2,46.1,0.09,2.1,1.056325369738339,150.0
Delhi,456.1,195.8,27.6,148.4,201.9,22.9,6.08,36.0,51.8,168.4,Moderate,2015-06-08,137.7,269.3,52.45,109.34,109.95,50.63,1.56,10.44,86.2,2.82,9.42,1.056325369738339,282.0
Mumbai,139.4,87.5,145.3,64.9,246.0,31.0,3.12,80.3,10.9,315.1,Very Poor,2015-06-08,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,22.96,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,274.9,331.7,134.5,17.1,215.1,15.8,5.28,10.6,142.7,424.9,Severe,2015-06-08,64.94,167.82286741214057,4.86,15.86,16.71,53.63,1.57,11.71,43.28,73.92,45.7,1.056325369738339,119.0
Delhi,126.9,455.1,156.2,51.4,84.6,24.5,9.03,24.5,172.6,435.6,Severe,2015-06-09,136.05,393.7,45.61,76.88,83.43,46.56,1.38,8.84,58.0,2.75,6.91,1.056325369738339,442.0
Mumbai,229.6,504.4,116.4,39.8,234.9,18.5,3.71,82.1,73.6,384.3,Very Poor,2015-06-09,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.0,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,77.4,483.9,52.9,19.7,177.4,27.2,3.91,38.6,2.1,476.9,Severe,2015-06-09,61.26,167.82286741214057,4.94,15.26,15.78,50.27,1.85,14.35,44.62,1.4,1.39,1.056325369738339,121.0
Delhi,424.1,388.5,162.5,144.3,86.2,14.2,6.82,27.1,75.6,348.0,Very Poor,2015-06-10,63.77,166.31,12.93,31.27,34.21,43.33,2.58,5.91,56.84,1.83,3.83,1.056325369738339,309.0
Mumbai,287.4,142.8,99.6,2.1,12.5,33.9,7.97,90.7,25.5,437.4,Severe,2015-06-10,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.06,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,189.5,529.6,96.8,138.8,17.8,40.0,9.52,74.8,13.0,353.6,Very Poor,2015-06-10,58.49,167.82286741214057,4.21,15.22,16.17,57.02,2.68,11.19,49.07,3.290950354609929,1.39,1.056325369738339,144.0
Delhi,16.5,443.1,91.5,3.2,213.9,49.9,7.55,6.1,110.2,418.4,Severe,2015-06-11,115.57,259.73,4.41,32.99,26.63,35.31,1.24,6.02,138.5,1.52,3.79,1.056325369738339,270.0
Mumbai,189.6,78.6,63.4,48.0,34.1,43.6,8.43,60.1,84.5,353.6,Very Poor,2015-06-11,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.02,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,154.3,228.1,43.6,52.3,239.8,40.6,8.06,0.1,129.8,326.6,Very Poor,2015-06-11,58.84,167.82286741214057,6.18,15.13,17.09,54.34,1.87,7.89,50.75,3.290950354609929,1.56,1.056325369738339,117.0
Delhi,341.6,326.1,137.2,70.5,19.8,49.1,5.43,98.8,139.8,491.6,Severe,2015-06-12,83.29,180.06,14.51,36.36,37.13,40.11,1.19,5.52,68.6,1.86,4.5,1.056325369738339,239.0
Mumbai,480.3,288.5,69.4,57.7,72.5,33.3,0.01,26.0,80.2,238.5,Poor,2015-06-12,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,22.96,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,463.3,3.0,71.7,132.1,161.8,34.2,1.65,7.0,188.3,250.0,Poor,2015-06-12,60.75,167.82286741214057,5.64,15.08,16.42,52.24,1.88,9.5,43.42,3.290950354609929,9.226440829460136,1.056325369738339,121.0
Delhi,323.6,149.8,45.7,7.8,159.7,40.8,3.26,51.9,95.6,473.6,Severe,2015-06-13,73.7,158.24,24.38,52.9,64.56,41.36,1.36,5.34,53.02,1.71,5.25,1.056325369738339,214.0
Mumbai,439.0,87.3,52.3,138.2,203.9,49.9,9.91,3.4,34.7,198.9,Moderate,2015-06-13,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.01,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,224.8,15.3,37.6,48.2,97.5,38.6,4.49,49.0,194.1,380.7,Very Poor,2015-06-13,58.12,167.82286741214057,5.17,15.31,16.68,57.06,1.9,9.94,45.84,3.290950354609929,9.226440829460136,1.056325369738339,118.0
Delhi,150.5,432.0,104.5,125.8,154.5,9.4,8.0,40.6,158.4,402.4,Severe,2015-06-14,74.56,121.44,15.9,68.76,71.74,56.02,1.35,5.33,60.88,1.63,6.44,1.056325369738339,166.0
Mumbai,380.8,4.4,151.2,103.6,72.9,49.2,4.89,18.5,47.3,136.0,Moderate,2015-06-14,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.04,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,56.2,502.8,44.0,22.7,105.3,35.2,9.76,0.0,61.0,197.0,Moderate,2015-06-14,58.33,167.82286741214057,4.06,15.4,16.56,57.11,1.89,9.48,46.63,3.290950354609929,265.98,1.056325369738339,117.0
Delhi,181.0,94.7,59.1,55.7,161.9,46.6,5.51,62.9,154.0,347.0,Very Poor,2015-06-15,106.11,206.42,17.76,72.79,73.34,60.68,1.62,6.3,86.86,2.8,8.15,1.056325369738339,234.0
Mumbai,103.8,85.8,96.7,78.8,150.0,33.3,0.14,50.7,161.6,244.7,Poor,2015-06-15,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.0,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,274.0,357.4,91.8,41.9,115.2,33.5,2.17,89.6,24.5,424.0,Severe,2015-06-15,59.87,167.82286741214057,5.29,14.98,17.13,52.87,2.73,8.94,37.5,3.290950354609929,81.3,1.056325369738339,165.0
Delhi,335.7,3.7,131.3,17.4,47.1,33.3,7.7,22.9,156.7,485.7,Severe,2015-06-16,132.21,282.05,45.43,81.57,109.14,59.1,1.73,6.16,82.42,4.07,13.65,1.056325369738339,331.0
Mumbai,270.0,333.4,69.6,29.5,148.6,0.8,5.02,90.7,42.4,420.0,Severe,2015-06-16,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.0,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,370.7,262.3,175.1,135.6,184.8,42.8,6.69,33.9,90.5,212.3,Poor,2015-06-16,49.91,167.82286741214057,3.95,13.37,14.54,53.49,1.85,8.31,39.99,70.96,15.55,1.056325369738339,118.0
Delhi,109.8,327.5,92.0,82.0,6.3,13.6,8.14,38.3,2.5,277.5,Poor,2015-06-17,123.56,271.79,32.84,70.96,82.45,55.88,1.57,6.95,74.01,3.18,8.21,1.056325369738339,327.0
Mumbai,215.6,57.1,179.7,123.8,93.9,47.2,3.88,55.0,39.4,373.6,Very Poor,2015-06-17,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,24.84,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,24.5,418.0,42.6,118.0,5.1,44.0,0.67,46.0,189.0,385.0,Very Poor,2015-06-17,53.53,167.82286741214057,3.85,12.39,13.86,54.26,1.97,10.04,35.97,391.88,2.34,1.056325369738339,120.0
Delhi,464.1,28.3,16.5,16.8,68.4,18.9,5.1,8.8,105.8,138.6,Moderate,2015-06-18,132.21,268.84,34.59,94.25,108.25,59.55,1.82,9.31,87.24,3.87,10.16,1.056325369738339,313.0
Mumbai,494.8,37.1,55.3,22.6,150.1,48.5,1.81,30.2,105.9,108.2,Moderate,2015-06-18,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.16,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,462.1,172.9,177.9,41.5,101.8,44.2,0.49,53.2,153.6,178.7,Moderate,2015-06-18,45.43,167.82286741214057,3.25,11.22,12.39,55.0,1.89,6.89,36.51,5.1,2.68,1.056325369738339,114.0
Delhi,220.1,172.7,18.1,53.5,41.5,49.3,3.37,22.4,118.8,377.1,Very Poor,2015-06-19,110.65,216.46,10.75,65.21,61.04,55.65,1.38,7.8,76.58,2.17,5.76,1.056325369738339,284.0
Mumbai,35.0,306.2,68.4,31.0,27.9,30.4,1.14,71.7,156.0,256.2,Poor,2015-06-19,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,23.24,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,433.7,144.0,157.2,11.5,180.6,29.5,9.01,57.8,180.8,231.0,Poor,2015-06-19,54.86,167.82286741214057,4.57,14.6,15.3,56.56,2.67,13.31,36.11,0.16,1.74,1.056325369738339,155.0
Delhi,332.9,513.6,95.8,137.6,67.5,38.1,1.66,1.0,77.7,482.9,Severe,2015-06-20,80.31,160.22,5.92,52.7,45.57,48.06,1.29,10.22,69.37,1.17,4.34,1.056325369738339,239.0
Mumbai,103.8,154.7,105.7,105.9,137.1,3.1,6.88,41.2,72.3,244.7,Poor,2015-06-20,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,16.77,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,381.3,437.1,83.6,110.4,239.5,11.6,8.59,89.1,52.0,409.8,Severe,2015-06-20,56.25,167.82286741214057,4.53,15.23,16.57,58.34,2.25,10.29,37.1,3.290950354609929,1.27,1.056325369738339,158.0
Delhi,309.8,310.3,43.6,30.1,107.8,43.6,4.89,5.1,49.4,459.8,Severe,2015-06-21,59.73,82.7,7.05,50.78,40.03,66.21,1.59,6.11,52.78,1.08,4.73,1.056325369738339,149.0
Mumbai,55.5,312.2,107.7,66.6,53.8,28.7,5.49,11.6,50.3,262.2,Poor,2015-06-21,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,18.88,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,196.3,468.1,89.4,18.1,159.6,20.1,5.55,27.4,198.7,454.2,Severe,2015-06-21,57.87,167.82286741214057,3.92,15.88,17.05,57.83,1.89,9.93,41.28,11.12,3.65,1.056325369738339,118.0
Delhi,36.8,330.2,17.6,4.6,131.8,7.2,5.53,0.6,53.6,280.2,Poor,2015-06-22,85.4,139.2,10.93,58.88,56.1,50.28,1.34,6.18,59.49,1.66,7.01,1.056325369738339,172.0
Mumbai,133.7,198.6,132.4,88.2,114.2,27.4,8.77,7.8,93.1,310.7,Very Poor,2015-06-22,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,18.87,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,490.3,232.1,16.4,41.4,26.1,37.5,6.22,14.2,115.2,188.1,Moderate,2015-06-22,72.61,167.82286741214057,6.83,17.51,18.04,55.43,2.93,9.47,38.85,0.17,0.12,1.056325369738339,152.0
Delhi,63.6,515.0,197.4,49.7,207.5,2.7,7.15,0.7,96.5,164.3,Moderate,2015-06-23,101.99,152.18,18.2,61.18,67.45,51.94,1.41,7.9,77.04,2.42,7.98,1.056325369738339,226.0
Mumbai,95.4,388.5,178.9,106.5,236.6,12.6,1.69,12.4,92.4,348.0,Very Poor,2015-06-23,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,18.87,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,166.4,434.7,54.6,119.2,187.5,21.2,3.74,64.0,196.7,406.3,Severe,2015-06-23,68.28,167.82286741214057,7.62,16.15,14.61,52.18,2.3,10.42,33.71,1.46,1.35,1.056325369738339,181.0
Delhi,172.0,62.6,138.2,67.5,222.0,30.2,0.79,27.1,85.8,340.1,Very Poor,2015-06-24,126.07,214.45,14.98,60.31,86.44,62.47,1.37,8.09,83.13,2.45,7.86,1.056325369738339,261.0
Mumbai,52.1,295.9,153.2,51.8,124.7,8.9,4.45,12.9,54.2,245.9,Poor,2015-06-24,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,18.85,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,265.3,367.4,180.8,70.3,31.2,34.9,6.92,15.8,80.4,415.3,Severe,2015-06-24,58.07,167.82286741214057,7.07,16.31,15.81,51.31,2.33,12.21,38.65,3.31,0.41,1.056325369738339,167.0
Delhi,405.8,582.9,128.4,109.7,245.6,24.5,6.76,42.8,56.1,159.4,Moderate,2015-06-25,37.59,62.38,17.17,44.72,104.26,50.86,1.25,7.67,46.7,1.69,5.27,1.056325369738339,188.0
Mumbai,185.0,99.6,65.7,99.5,245.8,7.0,3.83,77.1,7.7,350.1,Very Poor,2015-06-25,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,18.95,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,298.3,538.3,131.0,7.7,171.8,9.8,8.6,35.2,99.9,448.3,Severe,2015-06-25,67.93,167.82286741214057,7.21,19.42,16.81,49.56,2.43,10.78,42.65,0.78,0.22,1.056325369738339,158.0
Delhi,11.5,189.9,132.8,135.4,11.0,49.1,5.44,83.4,159.5,187.4,Moderate,2015-06-26,76.0,182.48,32.6,46.88,101.06,45.56,1.04,6.84,60.99,2.08,6.36,1.056325369738339,192.0
Mumbai,34.3,285.7,21.7,127.0,231.0,44.0,3.78,45.0,113.9,235.7,Poor,2015-06-26,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,18.98,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,288.3,186.0,113.3,48.9,222.1,13.0,1.63,42.5,45.0,438.3,Severe,2015-06-26,69.03,167.82286741214057,3.74,17.22,15.38,63.57,2.71,11.35,36.46,0.89,0.15,1.056325369738339,147.0
Delhi,489.2,479.0,88.9,68.3,1.7,33.2,3.21,34.0,178.9,469.9,Severe,2015-06-27,69.46,195.2,19.12,38.55,69.98,42.36,1.01,7.28,53.19,1.39,3.4,1.056325369738339,207.0
Mumbai,441.6,247.7,176.2,141.8,35.9,27.9,4.14,64.3,199.9,279.4,Poor,2015-06-27,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,18.97,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,362.7,161.9,145.8,46.4,101.0,43.9,5.83,20.6,194.0,264.5,Poor,2015-06-27,76.57,167.82286741214057,4.06,15.11,14.84,48.26,2.33,10.04,33.37,0.86,0.12,1.056325369738339,149.0
Delhi,270.3,112.9,118.1,80.4,226.4,27.9,5.15,42.4,171.0,420.3,Severe,2015-06-28,79.84,214.78,20.29,47.19,92.99,41.99,1.13,7.53,58.34,1.4,3.86,1.056325369738339,219.0
Mumbai,17.6,227.0,154.9,104.8,245.3,1.6,2.46,35.5,122.7,184.7,Moderate,2015-06-28,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,19.04,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,117.0,238.8,94.0,131.1,103.6,25.3,5.61,57.2,38.0,289.8,Poor,2015-06-28,77.2,167.82286741214057,4.02,17.59,15.56,56.33,2.04,9.68,28.86,0.91,0.13,1.056325369738339,157.0
Delhi,429.1,300.0,60.5,132.0,174.9,2.4,5.31,31.5,89.0,250.0,Poor,2015-06-29,48.5,96.78,5.47,38.37,81.25,43.97,1.07,7.74,52.21,0.89,3.04,1.056325369738339,193.0
Mumbai,336.9,199.0,149.6,49.0,149.0,23.4,3.87,87.2,85.5,486.9,Severe,2015-06-29,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,19.02,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,203.1,295.8,89.6,146.0,13.9,31.5,2.6,40.8,79.1,364.0,Very Poor,2015-06-29,76.18,167.82286741214057,3.79,17.75,15.68,55.49,2.04,10.84,32.23,0.93,0.13,1.056325369738339,157.0
Delhi,121.3,237.7,187.2,111.3,117.5,48.6,8.79,48.0,167.1,301.2,Very Poor,2015-06-30,53.79,109.92,8.54,46.06,108.22,41.11,1.05,9.15,58.33,1.16,4.92,1.056325369738339,170.0
Mumbai,480.5,174.5,196.3,129.0,216.6,37.5,5.08,97.0,169.4,202.0,Poor,2015-06-30,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,19.04,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,187.6,508.2,182.1,69.7,82.9,40.2,6.11,39.4,101.3,352.1,Very Poor,2015-06-30,77.16,167.82286741214057,3.53,17.68,15.59,49.23,2.32,11.67,33.71,0.94,0.13,1.056325369738339,172.0
Delhi,196.1,523.1,80.7,117.8,24.3,5.9,5.38,0.8,145.2,358.6,Very Poor,2015-07-01,57.99,135.43,8.88,49.64,103.97,40.5,1.06,8.88,61.42,1.62,6.78,1.056325369738339,185.0
Mumbai,16.6,454.6,147.1,94.1,20.3,42.5,9.63,35.9,73.4,434.9,Severe,2015-07-01,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,19.03,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,7.7,500.3,95.5,115.4,58.2,41.6,8.82,43.0,122.1,185.2,Moderate,2015-07-01,83.72,167.82286741214057,8.87,20.08,20.23,53.46,2.59,14.01,32.66,0.98,0.18,1.056325369738339,201.0
Delhi,210.4,104.2,160.8,16.6,139.2,48.4,4.71,84.7,111.4,369.6,Very Poor,2015-07-02,67.12,175.9,12.29,52.45,110.32,39.09,1.12,6.86,61.7,1.61,5.71,1.056325369738339,220.0
Mumbai,157.5,480.8,6.3,113.8,201.1,49.3,1.23,7.7,109.6,472.5,Severe,2015-07-02,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,19.02,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,393.6,448.9,26.5,132.0,138.9,24.9,7.36,87.5,106.1,426.7,Severe,2015-07-02,68.41,167.82286741214057,5.59,20.66,18.33,50.73,1.8,13.46,33.28,1.02,0.21,1.056325369738339,169.0
Delhi,352.0,95.2,16.7,139.6,201.2,40.8,6.53,3.2,174.6,215.2,Poor,2015-07-03,65.25,219.31,19.11,37.09,64.79,37.32,0.99,8.91,59.66,1.29,3.34,1.056325369738339,225.0
Mumbai,50.1,207.3,29.6,137.3,91.3,19.1,4.2,28.2,40.1,171.6,Moderate,2015-07-03,74.80060088202866,167.82286741214057,25.532119241192408,33.73362895927602,19.05,42.59358704793944,0.0,11.830751893589508,38.957495409474845,0.0,0.0,0.0,170.37583148558758
Chennai,409.5,160.8,194.7,88.0,198.0,38.9,7.87,49.3,43.1,173.3,Moderate,2015-07-03,73.86,167.82286741214057,6.06,21.36,17.47,56.63,7.39,13.24,30.81,1.02,0.21,1.056325369738339,186.0
